restaurant_name,michelin_distinction,rating,review_count,price_level,type,michelin
Oxomoco,One Star,4.5,2401.0,PRICE_LEVEL_MODERATE,mexican_restaurant,1
Tempura Matsui,One Star,4.8,366.0,PRICE_LEVEL_VERY_EXPENSIVE,japanese_restaurant,1
Restaurant Yuu,One Star,4.6,220.0,,french_restaurant,1
Peppercorn Station,bib,4.3,466.0,PRICE_LEVEL_MODERATE,chinese_restaurant,1
Szechuan Gourmet,Selected Restaurants,4.3,1088.0,PRICE_LEVEL_MODERATE,chinese_restaurant,1
Chef's Table at Brooklyn Fare,Two Stars,4.3,609.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,1
Speedy Romeo,bib,4.3,1426.0,PRICE_LEVEL_MODERATE,pizza_restaurant,1
Rose Marie,Selected Restaurants,4.5,59.0,,restaurant,1
Taqueria El Chato,bib,4.6,252.0,,mexican_restaurant,1
Alta Calidad,bib,4.5,867.0,PRICE_LEVEL_MODERATE,mexican_restaurant,1
Pierozek,bib,4.8,1116.0,PRICE_LEVEL_MODERATE,polish_restaurant,1
ILIS,Selected Restaurants,4.3,275.0,,restaurant,1
Sushi Sho,Three Stars,4.7,82.0,,restaurant,1
Wenwen,Selected Restaurants,4.5,678.0,PRICE_LEVEL_MODERATE,taiwanese_restaurant,1
Gabriel Kreuther,Two Stars,4.6,1307.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,1
Le Pavillon,One Star,4.5,1019.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,1
Fausto,Selected Restaurants,4.5,640.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,1
Sushi Yasuda,Selected Restaurants,4.4,1560.0,PRICE_LEVEL_VERY_EXPENSIVE,sushi_restaurant,1
Jōji,One Star,4.5,127.0,,sushi_restaurant,1
Izakaya Futago,Selected Restaurants,4.4,1002.0,PRICE_LEVEL_MODERATE,japanese_izakaya_restaurant,1
Bonnie's,bib,4.3,578.0,PRICE_LEVEL_MODERATE,cantonese_restaurant,1
The Lambs Club,Selected Restaurants,4.4,822.0,PRICE_LEVEL_EXPENSIVE,american_restaurant,1
Ammazzacaffè,Selected Restaurants,4.4,602.0,PRICE_LEVEL_MODERATE,italian_restaurant,1
Veerays,Michelin Star,4.4,199.0,,indian_restaurant,1
Casa Ora,Selected Restaurants,4.6,1202.0,PRICE_LEVEL_MODERATE,restaurant,1
Win Son,bib,4.5,1458.0,PRICE_LEVEL_MODERATE,taiwanese_restaurant,1
Meju,One Star,4.7,77.0,,korean_restaurant,1
Fasano,Selected Restaurants,4.6,346.0,PRICE_LEVEL_INEXPENSIVE,restaurant,1
Gui,Selected Restaurants,4.5,386.0,,steak_house,1
Kochi,One Star,4.6,980.0,,fine_dining_restaurant,1
Mari,One Star,4.5,475.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,1
Hart's,Selected Restaurants,4.6,415.0,PRICE_LEVEL_EXPENSIVE,mediterranean_restaurant,1
Casa Enrique,Selected Restaurants,4.5,3014.0,PRICE_LEVEL_MODERATE,mexican_restaurant,1
Hupo,bib,4.4,555.0,PRICE_LEVEL_MODERATE,chinese_restaurant,1
Runner Up,bib,4.6,107.0,,american_restaurant,1
Jupiter,Selected Restaurants,4.1,575.0,,restaurant,1
Kung Fu Little Steamed Buns Ramen,bib,4.2,791.0,PRICE_LEVEL_INEXPENSIVE,chinese_restaurant,1
Le Rock,Selected Restaurants,4.3,325.0,,restaurant,1
See No Evil Pizza,Selected Restaurants,4.6,354.0,PRICE_LEVEL_MODERATE,pizza_restaurant,1
R40,Selected Restaurants,4.5,415.0,,argentinian_restaurant,1
Don Antonio,Selected Restaurants,4.6,2112.0,PRICE_LEVEL_MODERATE,pizza_restaurant,1
Le Bernardin,Three Stars,4.6,4550.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,1
The Grill,Selected Restaurants,4.6,831.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,1
Cafe Mado,Selected Restaurants,4.7,223.0,PRICE_LEVEL_MODERATE,restaurant,1
Le Jardinier New York,Selected Restaurants,4.4,434.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,1
Chalong,bib,4.8,3497.0,PRICE_LEVEL_MODERATE,thai_restaurant,1
LORE,bib,4.7,592.0,,indian_restaurant,1
Lobster Club,Selected Restaurants,4.4,403.0,PRICE_LEVEL_VERY_EXPENSIVE,japanese_restaurant,1
Gallaghers,Selected Restaurants,4.6,9268.0,PRICE_LEVEL_VERY_EXPENSIVE,steak_house,1
Santi,Selected Restaurants,4.5,303.0,,italian_restaurant,1
53,Selected Restaurants,4.3,684.0,PRICE_LEVEL_EXPENSIVE,restaurant,1
The Modern,Two Stars,4.6,2724.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,1
Hyderabadi Zaiqa,Selected Restaurants,4.5,862.0,PRICE_LEVEL_MODERATE,indian_restaurant,1
Caviar Russe,Selected Restaurants,4.5,298.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,1
Benoit,Selected Restaurants,4.4,1181.0,PRICE_LEVEL_EXPENSIVE,french_restaurant,1
YingTao,One Star,4.4,207.0,,chinese_restaurant,1
Aquavit,Two Stars,4.6,1272.0,PRICE_LEVEL_VERY_EXPENSIVE,scandinavian_restaurant,1
Four Twenty Five,Selected Restaurants,4.5,262.0,,american_restaurant,1
Chavela’s,bib,4.5,3101.0,PRICE_LEVEL_MODERATE,mexican_restaurant,1
Roberta's,bib,4.4,2120.0,PRICE_LEVEL_MODERATE,pizza_restaurant,1
Agi's Counter,bib,4.6,655.0,PRICE_LEVEL_MODERATE,eastern_european_restaurant,1
Chola,Selected Restaurants,4.3,790.0,PRICE_LEVEL_MODERATE,indian_restaurant,1
Sobre Masa,bib,4.5,461.0,PRICE_LEVEL_MODERATE,mexican_restaurant,1
Marea,Selected Restaurants,4.5,3011.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,1
Per Se,Three Stars,4.5,2070.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,1
